Lakers,Lebron,James
Lakers,Anthony,Davis
Lakers,Russel,Westbrook
Bulls,Zach,Lavine
Bulls,Lonzo,Ball
Bulls,Alex,Caruso
76ers,James,Harden
76ers,Joel,Embiid
Knics,Julius,Randle
Knics,RJ,Barret
Warriors,Stephen,Curry
Warriors,Klay,Thompson
Warriors,Jordan,Poole
Warriors,Draymond,Green
Kings,De'Aaron,Fox
Kings,Domantas,Sabonis
